DEC,HEX,Mode,Alpha Tag,Description,Tag
1943,797,D,01 OEMP,Primary,Emergency Ops
1959,7a7,D,02 ESU-TOC1,Emergency Situation Unit: Tactical 1,Emergency Ops
1947,79b,D,03 ESU-TOC2,Emergency Situation Unit: Tactical 2,Emergency Ops
1949,79d,D,04 ESC-NWS,Emergency Situation Command/NWS,Emergency Ops
1963,7ab,D,05 USAR,Urban Search and Rescue,Emergency Ops
1945,799,D,06 MAYOR,Mayor Office,Emergency Ops
2911,b5f,DE,ECC PRI,Primary,Emergency Ops
2915,b63,DE,ECCT1,Training 1,Emergency Ops
2917,b65,DE,ECCT2,Training 2,Emergency Ops
10175,27bf,DE,ECC1,Ops 1,Emergency Ops
10176,27c0,DE,ECC2,Ops 2,Emergency Ops
10177,27c1,DE,ECC3,Ops 3,Emergency Ops
10178,27c2,DE,ECC4,Ops 4,Emergency Ops
10179,27c3,De,ECC5,Ops 5,Emergency Ops
10180,27c4,De,ECC6,Ops 6,Emergency Ops
10181,27c5,De,ECC7,Ops 7,Emergency Ops
10182,27c6,De,ECC8,Ops 8,Emergency Ops
3001,bb9,D,A1 UNI 1,Unified Command 1,Interop
3003,bbb,D,A2 UNI 2,Unified Command 2,Interop
3005,bbd,D,A3 UNI 3,Unified Command 3,Interop
3007,bbf,D,A4 UNI 4,Unified Command 4,Interop
3009,bc1,D,A5 UNI 5,Unified Command 5,Interop
3011,bc3,D,A6 JOPS 6,Joint Operations 6,Interop
3013,bc5,D,A7 JOPS 7,Joint Operations 7,Interop
3015,bc7,D,A8 JOPS 8,Joint Operations 8,Interop
3017,bc9,D,A9 JOPS 9,Joint Operations 9,Interop
3019,bcb,D,A10 OEM HAIL,Hailing for OEM,Emergency Ops
10011,271b,DE,A11 SEC 11,Secure Operations 11,Interop
10012,271c,DE,A12 SEC 12,Secure Operations 12,Interop
10013,271d,DE,A13 SEC 13,Secure Operations 13,Interop
10014,271e,DE,A14 SEC 14,Secure Operations 14,Interop
10015,271f,DE,A15 SEC 15,Secure Operations 15,Interop
10016,2720,DE,A16 SEC 16,Secure Operations 16,Interop
723,2d3,DE,P602SRT1,NPD SWAT Negotiation 1,Law Tac
725,2d5,DE,P603SRT2,NPD SWAT Negotiation 2,Law Tac
741,2e5,DE,P604SWT3,NPD SWAT Negotiation 3,Law Tac
717,2cd,DE,P605SWT4,NPD SWAT Operations 4,Law Tac
719,2cf,DE,P606SWT5,NPD SWAT Operations 5,Law Tac
721,2d1,DE,P607SWT6,NPD SWAT Operations 6,Law Tac
731,2db,DE,P608SWT7,NPD SWAT Operations 7,Law Tac
735,2df,DE,P609SWT8,NPD SWAT Operations 8,Law Tac
727,2d7,DE,P610NEG1,NPD Negotiators 1,Law Tac
729,2d9,DE,P611NEG2,NPD Negotiators 2,Law Tac
3029,bd5,D,PSRES01,Unified Command Reserve Pool 1,Interop
3031,bd7,D,PSRES02,Unified Command Reserve Pool 2,Interop
3033,bd9,D,PSRES03,Unified Command Reserve Pool 3,Interop
3035,bdb,D,PSRES04,Unified Command Reserve Pool 4,Interop
3037,bdd,D,PSRES05,Unified Command Reserve Pool 5,Interop
3039,bdf,D,PSRES06,Unified Command Reserve Pool 6,Interop
3041,be1,D,PSRES07,Unified Command Reserve Pool 7,Interop
3043,be3,D,PSRES08,Unified Command Reserve Pool 8,Interop
3045,be5,D,PSRES09,Unified Command Reserve Pool 9,Interop
3047,be7,D,PSRES10,Unified Command Reserve Pool 10,Interop
3049,be9,D,PSRES11,Unified Command Reserve Pool 11,Interop
3051,beb,D,PSRES12,Unified Command Reserve Pool 12,Interop
3053,bed,D,PSRES13,Unified Command Reserve Pool 13,Interop
3055,bef,D,PSRES14,Unified Command Reserve Pool 14,Interop
3057,bf1,D,PSRES15,Unified Command Reserve Pool 15,Interop
3059,bf3,D,PSRES16,Unified Command Reserve Pool 16,Interop
10017,2721,D,SYSMA01,System Wide Mutual Aid 01,Interop
10018,2722,D,SYSMA02,System Wide Mutual Aid 02,Interop
10019,2723,D,SYSMA03,System Wide Mutual Aid 03,Interop
10020,2724,D,SYSMA04,System Wide Mutual Aid 04,Interop
10021,2725,D,SYSMA05,System Wide Mutual Aid 05,Interop
10022,2726,D,SYSMA06,System Wide Mutual Aid 06,Interop
10023,2727,D,SYSMA07,System Wide Mutual Aid 07,Interop
10024,2728,D,SYSMA08,System Wide Mutual Aid 08,Interop
10025,2729,D,SYSMA09,System Wide Mutual Aid 09,Interop
10026,272a,D,SYSMA10,System Wide Mutual Aid 10,Interop
10027,272b,D,SYSMA11,System Wide Mutual Aid 11,Interop
10028,272c,D,SYSMA12,System Wide Mutual Aid 12,Interop
10029,272d,D,SYSMA13,System Wide Mutual Aid 13,Interop
10030,272e,D,SYSMA14,System Wide Mutual Aid 14,Interop
10031,272f,D,SYSMA15,System Wide Mutual Aid 15,Interop
10032,2730,D,SYSMA16,System Wide Mutual Aid 16,Interop
10049,2741,D,SPEV D01,Special Event 01 Nissan Stadium Admin,Multi-Tac
10050,2742,D,SPEV D02,Special Event 02 Nissan Stadium Traffic,Multi-Tac
10051,2743,D,SPEV D03,Special Event 03 Nissan Stadium Security,Multi-Tac
10052,2744,D,SPEV D04,Special Event 04 Nissan Stadium Special Ops,Multi-Tac
10053,2745,D,SPEV D05,Special Event 05 Vanderbilt University,Multi-Tac
10054,2746,D,SPEV D06,Special Event 06 TN State University,Multi-Tac
10055,2747,D,SPEV D07,Special Event 07 Bridgestone Arena,Multi-Tac
10056,2748,D,SPEV D08,Special Event 08 First Horizon Park,Multi-Tac
10057,2749,D,SPEV D09,Special Event 09 Ascend Ampitheater,Multi-Tac
